LocationID,City,State,ZipCode
1,San Diego,Texas,10001
2,Dallas,Ohio,95101
3,San Jose,Florida,19101
4,San Antonio,Florida,92101
5,San Diego,Pennsylvania,10001
6,San Jose,Florida,19101
7,Phoenix,California,90001
8,Phoenix,Florida,
9,Phoenix,Florida,85001
10,,Illinois,
11,San Diego,California,95101
12,Philadelphia,,85001
13,Chicago,New York,
14,Phoenix,Pennsylvania,60601
15,San Jose,Arizona,75201
16,New York,Illinois,95101
17,Chicago,Texas,
18,San Jose,Ohio,75201
19,Dallas,California,
20,San Jose,Florida,85001
21,,Illinois,60601
22,Philadelphia,Florida,90001
23,San Diego,Florida,60601
24,San Antonio,Texas,92101
25,Houston,Arizona,75201
26,Phoenix,Texas,92101
27,Phoenix,Florida,10001
28,San Antonio,Georgia,92101
29,,Illinois,90001
30,Phoenix,Pennsylvania,75201
31,Los Angeles,California,75201
32,Dallas,Arizona,10001
33,Phoenix,Florida,77001
34,Chicago,Arizona,78201
35,Los Angeles,Florida,
36,Houston,,10001
37,New York,Georgia,78201
38,Philadelphia,Ohio,10001
39,Chicago,Ohio,
40,,New York,
41,,New York,75201
42,New York,New York,78201
43,Chicago,California,
44,Phoenix,,
45,San Diego,Ohio,90001
46,Chicago,Illinois,92101
47,Houston,Texas,60601
48,Chicago,Texas,78201
49,San Antonio,Georgia,92101
50,San Antonio,Illinois,60601
51,Houston,,90001
52,San Jose,Arizona,60601
53,Phoenix,North Carolina,95101
54,Houston,California,95101
55,Phoenix,Illinois,95101
56,San Diego,California,78201
57,San Diego,,10001
58,New York,California,78201
59,,Ohio,
60,,,19101
61,Houston,California,
62,Phoenix,Pennsylvania,78201
63,San Antonio,Georgia,
64,Chicago,Texas,10001
65,San Antonio,,19101
66,Philadelphia,,77001
67,San Diego,,60601
68,Chicago,Texas,
69,Chicago,Illinois,77001
70,Philadelphia,Illinois,
71,Philadelphia,Ohio,85001
72,Houston,Georgia,92101
73,Los Angeles,Texas,95101
74,Chicago,North Carolina,90001
75,Los Angeles,,
76,,Ohio,10001
77,Phoenix,North Carolina,90001
78,,New York,
79,San Diego,Arizona,
80,Houston,Arizona,75201
81,San Diego,New York,95101
82,Los Angeles,Texas,78201
83,San Antonio,Pennsylvania,78201
84,Dallas,Arizona,95101
85,,Pennsylvania,92101
86,Houston,North Carolina,95101
87,New York,Illinois,60601
88,New York,Pennsylvania,95101
89,Phoenix,North Carolina,
90,Chicago,Illinois,
91,Phoenix,,
92,San Jose,Illinois,90001
93,,Georgia,
94,Los Angeles,Arizona,60601
95,Philadelphia,Texas,60601
96,New York,Florida,77001
97,,Ohio,92101
98,New York,North Carolina,95101
99,New York,California,95101
100,Houston,California,77001
101,New York,New York,92101
102,Philadelphia,Texas,19101
103,San Antonio,Texas,90001
104,San Jose,Illinois,78201
105,Houston,Illinois,78201
106,Phoenix,Georgia,85001
