RentalID,PropertyID,ClientID,RentalPrice,RentalStartDate,RentalEndDate
1,41935,22588,2619.51,2014-01-01,2013-12-12
2,17944,34541,2638.28,2010-01-01,2010-01-09
3,12196,18954,2227.05,2014-01-01,2013-12-05
4,4944,23668,,2017-01-01,2017-01-21
5,8390,26936,1610.89,2013-01-01,2012-12-28
6,43912,26080,2983.73,2017-01-01,2017-01-24
7,23125,29172,2654,2014-01-01,2013-12-30
8,11674,22006,2232.65,2013-01-01,2013-01-10
9,27526,29498,,2011-01-01,2010-12-20
10,44072,50340,1344.34,2017-01-01,2016-12-11
11,224,42354,2490.35,2011-01-01,2011-01-22
12,21674,31896,,2011-01-01,2011-01-06
13,41595,27462,,2018-01-01,2018-01-28
14,35340,1329,706.02,2014-01-01,2014-01-27
15,42491,16316,2270.9,2013-01-01,2013-01-22
16,6775,31558,,2017-01-01,2016-12-04
17,24590,32177,1518.41,2014-01-01,2014-01-06
18,43642,31931,2998.7,2016-01-01,2016-01-03
19,48671,11268,1626.99,2011-01-01,2011-01-09
20,45238,38063,2279.94,2011-01-01,2011-01-30
21,52507,49631,,2017-01-01,2017-01-03
22,12162,22174,1420.8,2018-01-01,2017-12-08
23,1738,10397,,2013-01-01,2012-12-05
24,33278,10797,1883.24,2016-01-01,2015-12-27
25,17753,14915,,2011-01-01,2011-01-30
26,9410,44899,2128.67,2016-01-01,2015-12-17
27,27960,46325,1226.77,2016-01-01,2016-01-25
28,36632,16671,1785.08,2013-01-01,2013-01-07
29,38534,28254,786.25,2015-01-01,2014-12-16
30,38088,42090,2548.67,2013-01-01,2012-12-11
31,46026,30722,2335.47,2017-01-01,2016-12-23
32,11353,41167,2046.17,2011-01-01,2011-01-21
33,23002,32071,1381.5,2014-01-01,2013-12-03
34,39251,2359,1089.1,2010-01-01,2009-12-30
35,17362,53015,2916.86,2013-01-01,2013-01-25
36,41668,29991,2103.53,2016-01-01,2015-12-15
37,20909,8724,1842.72,2011-01-01,2011-01-30
38,4764,26816,1485.41,2013-01-01,2013-01-01
39,3301,4093,576.8,2011-01-01,2011-01-08
40,12104,32905,1834.79,2017-01-01,2017-01-27
41,6395,35356,1083.63,2016-01-01,2016-01-26
42,8892,35813,1815.61,2016-01-01,2015-12-21
43,24792,41575,1178.37,2018-01-01,2017-12-04
44,50144,38336,2142.99,2012-01-01,2012-01-23
45,54499,37655,,2013-01-01,2012-12-18
46,32753,14232,891.05,2016-01-01,2016-01-10
