SaleID,PropertyID,ClientID,AgentID,SalePrice,SaleDate,CommissionPercentage,TotalCommission
1,33733,46151,11071,240000,2013-04-09,50.76,2873.71
2,53646,32902,9790,366000,2014-06-10,32.8,7909.1
3,50876,8647,43284,435000,2016-09-26,,11907.11
4,10327,39852,54530,255000,2016-01-29,76.7,1579.77
5,45750,7860,9331,278000,2014-10-10,85.45,13116.21
6,37535,7359,2803,267000,2014-07-16,90.34,6447.25
7,31044,35362,55181,171000,2014-08-28,15.95,3154.45
8,52790,53011,32034,262000,2016-09-27,36.05,4842.1
9,32073,22714,12534,285000,2015-08-14,58.85,5008.87
10,38318,22634,18345,340000,2014-08-29,46.95,12334.32
11,47430,4587,18884,425000,2015-04-14,58.55,13406.7
12,17700,53393,20860,585000,2013-12-12,92.52,
13,25945,25164,40953,190000,2015-07-13,49.35,4132.43
14,26727,29377,40715,189900,2013-06-07,97.56,12989.36
15,52175,15048,42066,157500,2014-06-30,71.84,3364.64
16,6543,33280,50332,247400,2014-06-30,20.22,2236.24
17,54767,24800,15690,211500,2016-07-15,49.44,8168.14
18,52595,51407,22587,185900,2015-03-31,40.62,12592
19,30370,7543,17414,349900,2013-10-11,59.82,
20,13782,7015,2654,192500,2013-06-28,4.52,8684.34
21,21249,53278,19680,279900,2015-02-10,88.36,12074.66
22,37969,1240,26660,379900,2016-04-14,69.04,7303.02
23,55913,26718,47707,192500,2013-07-08,77.29,1865.34
24,40937,12540,47029,193500,2015-08-31,59.95,12526.86
25,32412,43909,37950,172400,2013-10-21,23.02,8368.57
26,15175,2943,35456,435000,2016-05-31,75.98,12257.39
27,31510,38839,23215,162500,2015-01-26,,632.15
28,1725,28263,26173,235000,2014-08-01,99.9,2316.72
29,36147,43152,17911,225000,2013-10-11,46.16,1524.09
30,28234,45470,40411,271000,2015-08-27,10.11,
31,43761,47227,18324,359900,2014-03-18,46.76,2809.4
32,11764,38072,34555,276500,2016-03-11,51.41,6237.2
