ValuationID,PropertyID,ValuationDate,LandValue,BuildingValue,TotalValue
,,,50000,,
1,25512,,50000,264100,319000
2,25512,2010-09-18,50000,216200,298000
3,25512,2014-11-06,50000,147300,197300
4,25512,2011-07-28,50000,152300,202300
5,25512,2016-07-17,50000,190400,259800
6,25512,,40000,137900,177900
7,25512,2014-11-08,40000,157900,197900
8,25512,2014-09-09,45400,176900,222300
9,25512,2015-07-22,40000,179600,219600
10,25512,2015-12-30,,,
11,25512,2011-06-21,,,
12,25512,2015-01-16,,,
13,25512,2014-03-08,40000,203600,243600
14,25512,2010-04-20,40000,115400,155400
15,25512,2010-12-14,40000,180300,234000
16,25512,,40000,129200,169200
17,25512,2013-10-14,40000,127400,167400
18,25512,2013-12-05,40000,286500,346300
19,25512,2016-01-18,40000,130400,170400
20,25512,2015-04-18,40000,238900,278900
21,25512,2016-10-16,52900,330700,383600
22,25512,,40000,158000,198000
23,25512,2012-01-20,35100,116600,151700
24,25512,2011-05-31,39800,112800,152600
25,25512,2010-08-20,,,
26,25512,2015-01-03,50000,119300,179200
27,25512,2015-04-16,50000,134800,232300
28,25512,2015-03-23,66800,140300,207100
29,25512,2014-04-01,46000,153700,220900
30,25512,,40000,333300,373300
31,25512,2017-08-31,40000,169200,209200
32,25512,2010-06-26,40000,133300,173300
33,25512,2011-05-06,40000,148200,188200
34,25512,2016-12-21,40000,143300,183300
35,25512,2013-03-06,40000,104900,153400
36,25512,2016-04-13,40000,138900,205600
37,25512,2013-03-19,40000,126400,181100
38,25512,,30000,64100,95700
39,25512,2012-03-24,30000,148700,180000
40,25512,2012-08-14,30000,94600,150500
41,25512,2015-09-20,30000,97100,140700
42,25512,2012-05-09,30000,88600,119300
43,25512,2013-05-02,30000,111200,141200
44,25512,,30000,111200,141200
45,25512,2010-07-12,30000,115900,145900
46,25512,2016-11-05,30000,83000,113000
47,25512,2011-06-12,30000,116100,146100
48,25512,,39800,134300,174100
49,25512,2016-07-16,35100,173300,240100
50,25512,2011-11-23,35100,147700,196200
51,25512,2017-09-17,35100,134500,169600
52,25512,2014-07-23,35100,121400,156500
53,25512,2013-12-27,35100,144500,179600
54,25512,2017-10-29,30000,97900,131000
55,25512,2012-05-23,28100,107700,140800
56,25512,2017-07-20,48800,0,48800
57,25512,2012-05-26,45000,0,45000
58,25512,2012-07-17,45100,105800,150900
59,25512,2015-11-22,28100,260800,288900
60,25512,2015-03-15,24000,175900,199900
61,25512,2011-10-22,24000,175900,199900
62,25512,2017-08-30,28000,117100,154400
63,25512,2010-08-08,28000,154600,182600
64,25512,2014-02-15,30800,130100,173600
65,25512,2017-06-29,30800,146900,179000
66,25512,2015-07-01,28000,99200,131000
67,25512,,28000,96300,124300
68,25512,2012-02-07,28000,123900,151900
69,25512,2017-07-25,28000,117600,145600
70,25512,2010-03-16,30800,145800,176600
71,25512,2010-07-20,28000,159900,193500
72,25512,2011-01-28,28000,110700,148800
73,25512,2017-11-15,28000,95100,138200
74,25512,2015-06-25,28000,101900,132600
75,25512,,28000,101900,132600
76,25512,,28000,207600,235600
77,25512,2013-05-30,28000,140400,168400
78,25512,2016-03-22,28000,165500,193500
79,25512,2016-02-16,28000,117600,145600
80,25512,2014-07-21,28000,118600,146600
81,25512,2013-07-21,28000,96500,124500
82,25512,2011-12-27,28000,117900,145900
83,25512,2010-03-25,28000,103800,131800
84,25512,2016-07-17,28000,103800,131800
85,25512,2013-08-18,28000,152400,180400
86,25512,,28000,152400,180400
87,25512,2014-02-26,28000,123800,151800
88,25512,,28000,123800,151800
89,25512,2013-01-25,28000,82500,110500
90,25512,2014-04-02,28000,106200,134200
91,25512,2014-04-06,28000,134100,162100
92,25512,,28000,101400,131600
93,25512,2016-10-19,28000,101400,131600
94,25512,2012-08-23,28000,121100,161200
95,25512,2013-12-16,46200,107900,154100
96,25512,2015-07-04,28100,107600,135700
97,25512,2016-04-19,28100,89300,117400
98,25512,2014-12-22,28100,84000,118000
99,25512,2010-11-13,28100,83500,111600
100,25512,2010-09-26,28100,70500,100600
101,25512,2015-09-04,28100,82400,116300
102,25512,2010-11-24,28100,88900,120800
103,25512,2014-05-15,28100,88400,116500
104,25512,2017-04-02,28100,65300,93400
105,25512,2016-09-18,28100,66200,112600
106,25512,2012-09-17,28100,71400,99500
107,25512,2012-08-09,28100,86800,127000
108,25512,,,,
109,25512,2015-06-01,,,
110,25512,2010-08-18,,,
111,25512,2012-06-15,,,
112,25512,2016-07-20,,,
113,25512,,,,
114,25512,2010-02-22,,,
115,25512,2010-04-26,,,
116,25512,2012-01-15,,,
117,25512,2016-06-18,,,
118,25512,2014-09-22,,,
119,25512,2010-06-02,,,
120,25512,2014-09-26,,,
121,25512,2016-05-02,,,
122,25512,2011-03-05,,,
123,25512,2013-12-11,28100,58700,86800
124,25512,2013-05-17,26400,57400,83800
125,25512,2011-03-21,26400,308300,334700
126,25512,2012-06-27,26400,308300,334700
127,25512,2013-06-23,15000,85900,100900
128,25512,2017-03-31,26400,77500,103900
129,25512,2012-07-30,24000,65300,89300
130,25512,2014-08-25,24000,65300,89300
131,25512,2015-12-15,30000,99200,129200
132,25512,2015-11-04,35000,102900,137900
133,25512,2010-03-16,148400,0,148400
134,25512,2011-06-07,89000,0,89000
135,25512,2016-01-23,31800,228500,260300
136,25512,2011-08-25,28100,55400,85500
137,25512,,28100,105400,133500
138,25512,2017-04-03,26400,92300,118700
139,25512,2016-08-18,28100,0,28100
140,25512,,24000,61800,98400
141,25512,2014-03-03,24000,61800,98400
142,25512,2011-11-30,24000,79600,103600
